customer_id,service_id,category,interaction_score,timestamp,price
509,174,OTT Bundle,2,2024-01-01 00:00:00,86.1
2984,169,Insurance,2,2024-01-01 01:00:00,32.73
745,169,OTT Bundle,3,2024-01-01 02:00:00,82.21
740,156,Data Pack,3,2024-01-01 03:00:00,116.22
1905,124,Insurance,1,2024-01-01 04:00:00,45.24
2039,122,Roaming,2,2024-01-01 05:00:00,61.16
237,111,Insurance,1,2024-01-01 06:00:00,50.95
2007,147,OTT Bundle,3,2024-01-01 07:00:00,16.47
1557,109,Roaming,3,2024-01-01 08:00:00,114.37
1013,116,Roaming,3,2024-01-01 09:00:00,49.5
1075,151,Roaming,5,2024-01-01 10:00:00,115.48
1873,101,Data Pack,5,2024-01-01 11:00:00,87.82
1847,159,Insurance,1,2024-01-01 12:00:00,30.44
469,156,OTT Bundle,3,2024-01-01 13:00:00,74.86
1916,172,Data Pack,1,2024-01-01 14:00:00,15.46
388,146,Roaming,1,2024-01-01 15:00:00,27.5
1367,170,OTT Bundle,5,2024-01-01 16:00:00,17.23
736,112,Voice Plan,4,2024-01-01 17:00:00,12.46
654,173,OTT Bundle,5,2024-01-01 18:00:00,76.15
2089,121,Voice Plan,1,2024-01-01 19:00:00,36.0
1510,127,Voice Plan,5,2024-01-01 20:00:00,92.06
953,154,Roaming,3,2024-01-01 21:00:00,43.61
1726,149,Voice Plan,3,2024-01-01 22:00:00,105.11
2857,177,Data Pack,2,2024-01-01 23:00:00,55.78
1581,118,Roaming,4,2024-01-02 00:00:00,45.4
382,100,Voice Plan,5,2024-01-02 01:00:00,9.68
96,167,Insurance,4,2024-01-02 02:00:00,88.99
912,155,Data Pack,2,2024-01-02 03:00:00,117.29
787,113,Insurance,3,2024-01-02 04:00:00,34.96
293,163,OTT Bundle,1,2024-01-02 05:00:00,80.26
341,168,Data Pack,5,2024-01-02 06:00:00,82.58
719,121,Insurance,3,2024-01-02 07:00:00,55.67
2586,143,Insurance,2,2024-01-02 08:00:00,44.45
1374,148,Roaming,1,2024-01-02 09:00:00,11.0
2920,135,OTT Bundle,3,2024-01-02 10:00:00,114.19
960,168,Data Pack,3,2024-01-02 11:00:00,63.65
2429,133,Data Pack,3,2024-01-02 12:00:00,40.19
2907,136,Data Pack,5,2024-01-02 13:00:00,106.38
2647,150,Voice Plan,5,2024-01-02 14:00:00,20.87
2978,136,Data Pack,1,2024-01-02 15:00:00,85.53
1915,124,Voice Plan,5,2024-01-02 16:00:00,18.48
2810,104,Roaming,2,2024-01-02 17:00:00,88.96
2412,107,Voice Plan,1,2024-01-02 18:00:00,74.3
2614,152,OTT Bundle,3,2024-01-02 19:00:00,70.57
969,126,Voice Plan,2,2024-01-02 20:00:00,69.74
2875,160,OTT Bundle,3,2024-01-02 21:00:00,55.3
1940,164,OTT Bundle,1,2024-01-02 22:00:00,108.01
2031,170,OTT Bundle,3,2024-01-02 23:00:00,9.25
1575,144,OTT Bundle,4,2024-01-03 00:00:00,105.86
505,102,Data Pack,2,2024-01-03 01:00:00,53.91
1870,160,OTT Bundle,1,2024-01-03 02:00:00,42.82
2033,149,Insurance,1,2024-01-03 03:00:00,73.53
2266,147,Roaming,3,2024-01-03 04:00:00,29.9
1883,172,Insurance,3,2024-01-03 05:00:00,56.23
2530,146,Data Pack,2,2024-01-03 06:00:00,77.12
2985,113,OTT Bundle,5,2024-01-03 07:00:00,47.99
2797,118,Voice Plan,2,2024-01-03 08:00:00,41.58
1349,161,Data Pack,4,2024-01-03 09:00:00,72.82
836,105,Roaming,2,2024-01-03 10:00:00,76.93
489,106,Voice Plan,3,2024-01-03 11:00:00,40.99
1432,112,Voice Plan,5,2024-01-03 12:00:00,79.59
2848,145,OTT Bundle,5,2024-01-03 13:00:00,101.98
2259,132,Roaming,2,2024-01-03 14:00:00,18.02
2714,140,Roaming,4,2024-01-03 15:00:00,112.98
259,172,Voice Plan,2,2024-01-03 16:00:00,12.74
1251,178,Roaming,1,2024-01-03 17:00:00,65.3
2023,168,Insurance,5,2024-01-03 18:00:00,108.81
1618,128,OTT Bundle,1,2024-01-03 19:00:00,34.41
2420,106,OTT Bundle,4,2024-01-03 20:00:00,85.12
1415,153,Insurance,4,2024-01-03 21:00:00,9.82
992,110,Insurance,3,2024-01-03 22:00:00,60.26
2136,141,Roaming,2,2024-01-03 23:00:00,76.99
400,104,Voice Plan,2,2024-01-04 00:00:00,67.04
309,146,Roaming,2,2024-01-04 01:00:00,25.45
4,101,Insurance,1,2024-01-04 02:00:00,7.47
1197,142,OTT Bundle,4,2024-01-04 03:00:00,56.56
